code	MWL	value
jva	4.066	moderately short
jwr	4.286	moderately short
kaa	3.786	short
kab	3.763	short
kac	3.903	short
kad	4.438	moderately short
kae	4.197	moderately short
kag	4.401	moderately short
kai	4.365	moderately short
kaj	4.593	moderately long
kak	4.514	moderately long
kal	3.143	very short
kam	3.82	short
kan	2.955	extremely short
kap	4.811	moderately long
kar	4.088	moderately short
kas	3.812	short
kat	4.077	moderately short
kau	3.561	short
kaw	4.125	moderately short
kay	5.629	very long
kaz	3.794	short
kba	3.465	very short
kbl	4.506	moderately long
kbo	4.523	moderately long
kbu	4.005	moderately short
kbw	2.938	extremely short
kby	3.848	short
kch	4.069	moderately short
kdw	5.795	very long
kdz	4.718	moderately long
kea	3.4	very short
ked	3.726	short
kef	3.9	short
kei	3.574	short
kek	3.532	short
kel	4.177	moderately short
kem	3.894	short
ken	3.808	short
keo	3.557	short
ker	3.914	short
ket	3.394	very short
kew	3.642	short
kfe	4.487	moderately short
kfy	3.744	short
kga	4.083	moderately short
kgi	3.4	very short
kgl	3.986	short
kgm	3.045	very short
kgr	3.819	short
kgu	4.79	moderately long
kgy	3.212	very short
kha	3.519	short
khd	3.086	very short
khg	3.237	very short
khi	3.423	very short
khk	3.517	short
khl	3.456	very short
khm	4.038	moderately short
khn	3.212	very short
kho	3.873	short
khr	4.387	moderately short
khs	3.888	short
khv	3.425	very short
khw	3.388	very short
kic	4.7	moderately long
kie	3.699	short
kij	5.703	very long
kik	3.45	very short
kil	3.494	very short
kim	4.711	moderately long
kin	3.67	short
kio	2.812	extremely short
kiq	4.088	moderately short
kir	4.724	moderately long
kis	4.034	moderately short
kit	5.843	very long
kiu	4.09	moderately short
kiw	4.343	moderately short
kje	5.219	long
kji	3.919	short
kjn	3.6	short
kjo	4.41	moderately short
kjr	4.056	moderately short
kkb	4.694	moderately long
kkn	3.446	very short
kko	3.325	very short
kkp	4.051	moderately short
kkq	5.297	long
kkr	3.388	very short
kkt	4.576	moderately long
kku	3.919	short
kkv	4.103	moderately short
kkw	4.42	moderately short
kky	4.452	moderately short
kla	2.865	extremely short
klb	3.615	short
